date,value
20211211,802.941176
20211212,798.62069
20211213,741.25
20211214,782.5
20211215,786.0
20211216,788.333333
20211217,790.0
20211218,801.538462
20211219,803.333333
20211220,787.5
20211221,780.0
20211222,773.333333
20211223,771.25
20211224,773.333333
20211225,787.5
20211226,826.666667
20211227,775.0
20211228,739.230769
20211229,772.5
20211230,783.846154
20211231,812.083333
20220101,755.384615
20220102,718.0
20220103,781.25
20220104,786.428571
20220105,791.666667
20220106,810.0
20220107,801.0
20220108,777.272727
20220109,718.75
20220110,745.454545
20220111,777.931034
20220112,725.0
20220113,694.0
20220114,733.043478
20220115,798.787879
20220116,781.891892
20220117,739.285714
20220118,682.105263
20220119,748.571429
20220120,776.842105
20220121,799.0
20220122,802.093023
20220123,800.465116
20220124,806.060606
20220125,807.619048
20220126,817.54386
20220127,795.918367
20220128,825.952381
20220129,803.793103
20220130,823.939394
20220131,829.285714
20220201,844.594595
20220202,821.875
20220203,840.0
20220204,847.0
20220205,854.2
20220206,862.8125
20220207,862.5
20220208,828.333333
20220209,785.714286
20220210,839.2
20220211,872.162162
20220212,899.545455
20220213,892.424242
20220214,886.0
20220215,877.0
20220216,881.428571
20220217,875.454545
20220218,870.0
20220219,880.833333
20220220,874.285714
20220221,872.0
20220222,880.0
20220223,865.454545
20220224,853.333333
20220225,869.642857
20220226,876.666667
20220227,866.923077
20220228,856.0
20220301,836.428571
20220302,840.0
20220303,838.333333
20220304,841.111111
20220305,840.769231
20220306,826.363636
20220307,810.0
20220308,802.0
20220309,808.75
20220310,805.0
20220311,813.571429
20220312,831.0
20220313,822.5
20220314,824.0
20220315,826.666667
20220316,817.5
20220317,824.285714
20220318,833.0
20220319,812.5
20220320,782.0
20220321,760.0
20220322,794.888889
20220323,808.108108
20220324,817.058824
20220325,841.5625
20220326,851.764706
20220327,853.0
20220328,856.0
20220329,864.285714
20220330,882.307692
20220331,885.142857
20220401,872.5
20220402,876.25
20220403,881.428571
20220404,876.923077
20220405,884.285714
20220406,888.75
20220407,892.5
20220408,904.0
20220409,912.0
20220410,910.0
20220411,913.333333
20220412,928.75
20220413,910.0
20220414,917.5
20220415,926.25
20220416,935.714286
20220417,931.666667
20220418,921.25
20220419,921.25
20220420,931.25
20220421,939.0
20220422,946.428571
20220423,942.857143
20220424,942.222222
20220425,930.0
20220426,935.714286
20220427,930.0
20220428,940.0
20220429,937.5
20220430,930.0
20220501,905.0
20220502,896.666667
20220503,885.0
20220504,884.0
20220505,900.0
20220506,887.142857
20220507,877.5
20220508,836.666667
20220509,842.857143
20220510,851.428571
20220511,858.0
20220512,866.666667
20220513,852.0
20220514,851.428571
20220515,847.5
20220516,841.428571
20220517,834.0
20220518,840.0
20220519,840.0
20220520,830.0
20220521,838.0
